station,network,station_lat,station_lon,event_count
BFS,CI,34.239,-117.659,4
BHP,CI,33.991,-118.362,5
BLC,CI,34.244,-118.673,4
BRE,CI,33.808,-117.981,5
CHN,CI,33.999,-117.68,5
CJM,CI,34.271,-117.424,4
CRF,CI,33.874,-118.039,3
CRN,CI,33.876,-117.561,4
DEC,CI,34.25353,-118.33383,5
DJJ,CI,34.10618,-118.45505,5
DLA,CI,33.848,-118.096,5
ELS2,CI,33.64907,-117.42604,5
FMP,CI,33.71264,-118.29381,5
FON,CI,34.1,-117.439,5
GOU,CI,34.221,-118.188,5
GR2,CI,34.11816,-118.30024,3
GSA,CI,34.137,-118.128,4
IVY,CI,33.76,-117.477,4
LAF,CI,33.86889,-118.33143,5
LBW1,CI,33.798,-118.088,5
LCG,CI,34.00033,-118.37794,4
LGB,CI,33.975,-118.149,4
LLS,CI,33.68447,-117.94304,4
LMH,CI,33.744,-117.391,3
LMS,CI,33.817,-117.445,2
LTP,CI,33.881,-118.176,2
MLS,CI,34.005,-117.562,2
MWC,CI,34.224,-118.058,1
OLI,CI,33.945,-117.924,1
PASC,CI,34.17141,-118.18523,1
